geoid,geoid2,geodisplay,naicsid,establishment_type,op_type,tax_type,year,est_count,receipts,op_exp,payroll,q1payroll,employees,receipts_from_admin,receipts_from_estimate
Geographic identifier code,Id2,Geographic area name,2012 NAICS code,Meaning of 2012 NAICS code,Type of operation or tax status code,Meaning of Type of operation or tax status code,Year,Number of establishments,"Receipts/Revenue ($1,000)","Operating expenses ($1,000)","Annual payroll ($1,000)","First-quarter payroll ($1,000)",Number of paid employees for pay period including March 12,Percent of receipts/revenue from administrative records (%),Percent of receipts/revenue estimated (%)
330M200US104,104,"Albany-Schenectady, NY CSA",6117,Educational support services,A,All establishments,2012,23,D,N,D,D,e,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",6117,Educational support services,T,Establishments subject to federal income tax,2012,17,D,N,D,D,c,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",6117,Educational support services,Y,Establishments exempt from federal income tax,2012,6,D,D,D,D,c,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",61171,Educational support services,A,All establishments,2012,23,D,N,D,D,e,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",61171,Educational support services,T,Establishments subject to federal income tax,2012,17,D,N,D,D,c,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",61171,Educational support services,Y,Establishments exempt from federal income tax,2012,6,D,D,D,D,c,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",611710,Educational support services,A,All establishments,2012,23,D,N,D,D,e,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",611710,Educational support services,T,Establishments subject to federal income tax,2012,17,D,N,D,D,c,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",611710,Educational support services,Y,Establishments exempt from federal income tax,2012,6,D,D,D,D,c,D,D
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",61,Educational services,A,All establishments,2012,330,143201,N,48566,12155,2274,29.7,12.1
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",61,Educational services,T,Establishments subject to federal income tax,2012,230,85790,N,28091,6983,1534,33.5,15
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",61,Educational services,Y,Establishments exempt from federal income tax,2012,100,57411,55263,20475,5172,740,24,7.9
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",611,Educational services,A,All establishments,2012,330,143201,N,48566,12155,2274,29.7,12.1
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",611,Educational services,T,Establishments subject to federal income tax,2012,230,85790,N,28091,6983,1534,33.5,15
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",611,Educational services,Y,Establishments exempt from federal income tax,2012,100,57411,55263,20475,5172,740,24,7.9
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",6114,Business schools and computer and management training,A,All establishments,2012,48,D,N,D,D,c,D,D
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",6114,Business schools and computer and management training,T,Establishments subject to federal income tax,2012,38,D,N,D,D,c,D,D
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",6114,Business schools and computer and management training,Y,Establishments exempt from federal income tax,2012,10,D,D,D,D,b,D,D
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",61141,Business and secretarial schools,A,All establishments,2012,1,D,N,D,D,b,D,D
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",61141,Business and secretarial schools,T,Establishments subject to federal income tax,2012,1,D,N,D,D,b,D,D
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",611410,Business and secretarial schools,A,All establishments,2012,1,D,N,D,D,b,D,D
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",611410,Business and secretarial schools,T,Establishments subject to federal income tax,2012,1,D,N,D,D,b,D,D
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",61142,Computer training,A,All establishments,2012,6,8953,N,1812,440,42,0,0.9
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",61142,Computer training,T,Establishments subject to federal income tax,2012,6,8953,N,1812,440,42,0,0.9
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",611420,Computer training,A,All establishments,2012,6,8953,N,1812,440,42,0,0.9
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",611420,Computer training,T,Establishments subject to federal income tax,2012,6,8953,N,1812,440,42,0,0.9
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",61143,Professional and management development training,A,All establishments,2012,41,D,N,D,D,b,D,D
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",61143,Professional and management development training,T,Establishments subject to federal income tax,2012,31,D,N,D,D,b,D,D
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",61143,Professional and management development training,Y,Establishments exempt from federal income tax,2012,10,D,D,D,D,b,D,D
