GEO.id,GEO.id2,GEO.display-label,GC.target-geo-id,GC.target-geo-id2,GC.display-label,GC.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Country,Geographic region,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015
0100000US,,United States,330M200US292,292,"United States - Idaho Falls-Rexburg-Blackfoot, ID CSA","Idaho Falls-Rexburg-Blackfoot, ID CSA",229650,229722,230424,231900,232527,232984,234268,235829
0100000US,,United States,330M200US294,294,"United States - Indianapolis-Carmel-Muncie, IN CSA","Indianapolis-Carmel-Muncie, IN CSA",2266569,2266772,2271571,2290515,2310049,2335373,2354724,2372530
0100000US,,United States,330M200US296,296,"United States - Ithaca-Cortland, NY CSA","Ithaca-Cortland, NY CSA",150900,150900,151039,151647,152320,153445,153656,153420
0100000US,,United States,330M200US298,298,"United States - Jackson-Vicksburg-Brookhaven, MS CSA","Jackson-Vicksburg-Brookhaven, MS CSA",660368,660885,662063,667185,669110,669326,670244,670061
0100000US,,United States,330M200US300,300,"United States - Jacksonville-St. Marys-Palatka, FL-GA CSA","Jacksonville-St. Marys-Palatka, FL-GA CSA",1470473,1470473,1473991,1486256,1503642,1520178,1545017,1573606
0100000US,,United States,330M200US304,304,"United States - Johnson City-Kingsport-Bristol, TN-VA CSA","Johnson City-Kingsport-Bristol, TN-VA CSA",508260,508258,508557,508875,509366,508754,507871,507768
0100000US,,United States,330M200US306,306,"United States - Johnstown-Somerset, PA CSA","Johnstown-Somerset, PA CSA",221421,221422,221227,219971,218733,215592,213760,211933
0100000US,,United States,330M200US308,308,"United States - Jonesboro-Paragould, AR CSA","Jonesboro-Paragould, AR CSA",163116,163116,163436,165554,167400,168910,170550,172590
0100000US,,United States,330M200US309,309,"United States - Joplin-Miami, MO-OK CSA","Joplin-Miami, MO-OK CSA",207366,207364,207711,208577,206713,207503,208245,209192
0100000US,,United States,330M200US310,310,"United States - Kalamazoo-Battle Creek-Portage, MI CSA","Kalamazoo-Battle Creek-Portage, MI CSA",524030,524035,524222,524739,525930,528205,530026,530672
0100000US,,United States,330M200US312,312,"United States - Kansas City-Overland Park-Kansas City, MO-KS CSA","Kansas City-Overland Park-Kansas City, MO-KS CSA",2343008,2343008,2347787,2361355,2377700,2394515,2411638,2428362
0100000US,,United States,330M200US314,314,"United States - Knoxville-Morristown-Sevierville, TN CSA","Knoxville-Morristown-Sevierville, TN CSA",1077073,1077228,1078724,1084273,1090730,1095839,1102915,1109174
